sourceNodeId,sourceAppId,targetNodeId,targetAppId,relationshipType,percentIdentity,weight
7731744,u19445,7687472,u128,SEQUENCE_ALIGNMENT,0.604,0.604
7715198,u8613,7688419,u405,SEQUENCE_ALIGNMENT,0.917,0.917
7706574,u4537,7692194,u548,SEQUENCE_ALIGNMENT,0.771,0.771
7704918,u3824,7692207,u550,SEQUENCE_ALIGNMENT,0.7070000000000001,0.7070000000000001
7707348,u5157,7692207,u550,SEQUENCE_ALIGNMENT,0.44199999999999995,0.44199999999999995
7743108,u23531,7692207,u550,SEQUENCE_ALIGNMENT,0.6859999999999999,0.6859999999999999
7710432,u7120,7692207,u550,SEQUENCE_ALIGNMENT,0.6859999999999999,0.6859999999999999
7708749,u6076,7692207,u550,SEQUENCE_ALIGNMENT,0.6639999999999999,0.6639999999999999
7709719,u6854,7692207,u550,SEQUENCE_ALIGNMENT,0.6719999999999999,0.6719999999999999
7722683,u14790,7692207,u550,SEQUENCE_ALIGNMENT,0.6639999999999999,0.6639999999999999
7720999,u12790,7692207,u550,SEQUENCE_ALIGNMENT,0.708,0.708
7727858,u17707,7692207,u550,SEQUENCE_ALIGNMENT,0.657,0.657
7715224,u8640,7692207,u550,SEQUENCE_ALIGNMENT,0.6930000000000001,0.6930000000000001
7722723,u14846,7692207,u550,SEQUENCE_ALIGNMENT,0.7010000000000001,0.7010000000000001
7722724,u14847,7692207,u550,SEQUENCE_ALIGNMENT,0.6859999999999999,0.6859999999999999
7731744,u19445,7692207,u550,SEQUENCE_ALIGNMENT,0.626,0.626
7687472,u128,7692207,u550,SEQUENCE_ALIGNMENT,0.655,0.655
7693113,u741,7692207,u550,SEQUENCE_ALIGNMENT,0.63,0.63
7707286,u5029,7692207,u550,SEQUENCE_ALIGNMENT,0.636,0.636
7706842,u4758,7692207,u550,SEQUENCE_ALIGNMENT,0.621,0.621
7711656,u7358,7692207,u550,SEQUENCE_ALIGNMENT,0.7010000000000001,0.7010000000000001
7707781,u5475,7692207,u550,SEQUENCE_ALIGNMENT,0.679,0.679
7697506,u1631,7692207,u550,SEQUENCE_ALIGNMENT,0.854,0.854
7752969,u29609,7692207,u550,SEQUENCE_ALIGNMENT,0.6930000000000001,0.6930000000000001
7703744,u3234,7692207,u550,SEQUENCE_ALIGNMENT,0.636,0.636
7716181,u9230,7692712,u602,SEQUENCE_ALIGNMENT,0.637,0.637
7709076,u6349,7692712,u602,SEQUENCE_ALIGNMENT,0.756,0.756
7705289,u4011,7692712,u602,SEQUENCE_ALIGNMENT,0.667,0.667
7724627,u16483,7692881,u703,SEQUENCE_ALIGNMENT,0.899,0.899
7739390,u21649,7692881,u703,SEQUENCE_ALIGNMENT,0.5800000000000001,0.5800000000000001
7720621,u12395,7692881,u703,SEQUENCE_ALIGNMENT,0.63,0.63
7747030,u25133,7692881,u703,SEQUENCE_ALIGNMENT,0.538,0.538
7687472,u128,7693113,u741,SEQUENCE_ALIGNMENT,0.683,0.683
7731744,u19445,7693113,u741,SEQUENCE_ALIGNMENT,0.619,0.619
7701605,u2371,7693288,u754,SEQUENCE_ALIGNMENT,0.44099999999999995,0.44099999999999995
7708119,u5525,7693712,u943,SEQUENCE_ALIGNMENT,0.6579999999999999,0.6579999999999999
7707286,u5029,7695498,u1041,SEQUENCE_ALIGNMENT,0.6639999999999999,0.6639999999999999
7693113,u741,7695498,u1041,SEQUENCE_ALIGNMENT,0.698,0.698
7687472,u128,7695498,u1041,SEQUENCE_ALIGNMENT,0.79,0.79
7731744,u19445,7695498,u1041,SEQUENCE_ALIGNMENT,0.5900000000000001,0.5900000000000001
7741391,u22583,7695805,u1095,SEQUENCE_ALIGNMENT,0.631,0.631
7777059,u42720,7696641,u1297,SEQUENCE_ALIGNMENT,0.838,0.838
7720436,u12233,7696641,u1297,SEQUENCE_ALIGNMENT,0.848,0.848
7747281,u25341,7696641,u1297,SEQUENCE_ALIGNMENT,0.838,0.838
7721817,u13577,7696641,u1297,SEQUENCE_ALIGNMENT,0.798,0.798
7708121,u5536,7696641,u1297,SEQUENCE_ALIGNMENT,0.869,0.869
7708118,u5523,7696738,u1300,SEQUENCE_ALIGNMENT,0.793,0.793
7701605,u2371,7696998,u1513,SEQUENCE_ALIGNMENT,0.40700000000000003,0.40700000000000003
7731744,u19445,7697498,u1620,SEQUENCE_ALIGNMENT,0.593,0.593
7687472,u128,7697498,u1620,SEQUENCE_ALIGNMENT,0.65,0.65
7693113,u741,7697498,u1620,SEQUENCE_ALIGNMENT,0.679,0.679
7707286,u5029,7697498,u1620,SEQUENCE_ALIGNMENT,0.636,0.636
7706842,u4758,7697498,u1620,SEQUENCE_ALIGNMENT,0.75,0.75
7711656,u7358,7697498,u1620,SEQUENCE_ALIGNMENT,0.593,0.593
7707781,u5475,7697498,u1620,SEQUENCE_ALIGNMENT,0.614,0.614
7701610,u2384,7697498,u1620,SEQUENCE_ALIGNMENT,0.771,0.771
7742812,u23268,7697498,u1620,SEQUENCE_ALIGNMENT,0.643,0.643
7781099,u45333,7697498,u1620,SEQUENCE_ALIGNMENT,0.5429999999999999,0.5429999999999999
7752969,u29609,7697498,u1620,SEQUENCE_ALIGNMENT,0.864,0.864
7703744,u3234,7697498,u1620,SEQUENCE_ALIGNMENT,0.7070000000000001,0.7070000000000001
7712523,u7492,7697498,u1620,SEQUENCE_ALIGNMENT,0.679,0.679
7722724,u14847,7697498,u1620,SEQUENCE_ALIGNMENT,0.636,0.636
7722723,u14846,7697498,u1620,SEQUENCE_ALIGNMENT,0.657,0.657
7715224,u8640,7697498,u1620,SEQUENCE_ALIGNMENT,0.7070000000000001,0.7070000000000001
7720999,u12790,7697498,u1620,SEQUENCE_ALIGNMENT,0.607,0.607
7716325,u9322,7697498,u1620,SEQUENCE_ALIGNMENT,0.671,0.671
7707781,u5475,7697506,u1631,SEQUENCE_ALIGNMENT,0.708,0.708
7711656,u7358,7697506,u1631,SEQUENCE_ALIGNMENT,0.6930000000000001,0.6930000000000001
7706842,u4758,7697506,u1631,SEQUENCE_ALIGNMENT,0.621,0.621
7707286,u5029,7697506,u1631,SEQUENCE_ALIGNMENT,0.65,0.65
7693113,u741,7697506,u1631,SEQUENCE_ALIGNMENT,0.609,0.609
7687472,u128,7697506,u1631,SEQUENCE_ALIGNMENT,0.64,0.64
7731744,u19445,7697506,u1631,SEQUENCE_ALIGNMENT,0.612,0.612
7735867,u20448,7697617,u1680,SEQUENCE_ALIGNMENT,0.894,0.894
7716618,u9527,7697617,u1680,SEQUENCE_ALIGNMENT,0.6719999999999999,0.6719999999999999
7714377,u8238,7697617,u1680,SEQUENCE_ALIGNMENT,0.73,0.73
7747057,u25165,7697617,u1680,SEQUENCE_ALIGNMENT,0.73,0.73
7695337,u994,7697617,u1680,SEQUENCE_ALIGNMENT,0.8109999999999999,0.8109999999999999
7727858,u17707,7698115,u1801,SEQUENCE_ALIGNMENT,0.679,0.679
7704918,u3824,7698115,u1801,SEQUENCE_ALIGNMENT,0.9,0.9
7743108,u23531,7698115,u1801,SEQUENCE_ALIGNMENT,0.636,0.636
7710432,u7120,7698115,u1801,SEQUENCE_ALIGNMENT,0.75,0.75
7708749,u6076,7698115,u1801,SEQUENCE_ALIGNMENT,0.714,0.714
7709719,u6854,7698115,u1801,SEQUENCE_ALIGNMENT,0.657,0.657
7722683,u14790,7698115,u1801,SEQUENCE_ALIGNMENT,0.636,0.636
7716325,u9322,7698115,u1801,SEQUENCE_ALIGNMENT,0.714,0.714
7720999,u12790,7698115,u1801,SEQUENCE_ALIGNMENT,0.657,0.657
7731744,u19445,7698115,u1801,SEQUENCE_ALIGNMENT,0.657,0.657
7687472,u128,7698115,u1801,SEQUENCE_ALIGNMENT,0.657,0.657
7693113,u741,7698115,u1801,SEQUENCE_ALIGNMENT,0.636,0.636
7707286,u5029,7698115,u1801,SEQUENCE_ALIGNMENT,0.75,0.75
7706842,u4758,7698115,u1801,SEQUENCE_ALIGNMENT,0.714,0.714
7711656,u7358,7698115,u1801,SEQUENCE_ALIGNMENT,0.636,0.636
7707781,u5475,7698115,u1801,SEQUENCE_ALIGNMENT,0.629,0.629
