sourceNodeId,sourceAppId,targetNodeId,targetAppId,relationshipType,directAssociations,count,avgPercentIdentityPalmprint,avgPercentIdentityStatKmers,avgPercentIdentityStatSpots,weight
7687472,u128,8798009,64320,HAS_HOST_METADATA,18,18,0.6572222222222222,,,
7687472,u128,9355347,749906,HAS_HOST_METADATA,2,2,0.38,,,
7687472,u128,8764751,11070,HAS_HOST_METADATA,12,12,0.7808333333333334,,,
7687472,u128,10090783,1647806,HAS_HOST_METADATA,1,1,0.43,,,
7687472,u128,8758855,3702,HAS_HOST_METADATA,1,1,0.47,,,
7687472,u128,8764020,10090,HAS_HOST_METADATA,7,7,0.9957142857142857,,,
7687472,u128,9483367,939928,HAS_HOST_METADATA,1,1,0.43,,,
7687472,u128,9186880,506599,HAS_HOST_METADATA,1,1,0.38,,,
7687472,u128,8765706,12637,HAS_HOST_METADATA,65,65,0.9207692307692306,,,
7687472,u128,8761658,7160,HAS_HOST_METADATA,3,3,0.8366666666666667,,,
7687472,u128,8764770,11089,HAS_HOST_METADATA,5,5,1.0,,,
7687472,u128,8763618,9606,HAS_HOST_METADATA,21,21,0.9985714285714286,,,
7687472,u128,9964160,1504969,HAS_HOST_METADATA,6,6,1.0,,,
7687472,u128,8764961,11320,HAS_HOST_METADATA,2,2,0.995,,,
7687472,u128,8756988,1423,HAS_HOST_METADATA,7,7,0.9571428571428572,,,
7687472,u128,9178458,496923,HAS_HOST_METADATA,4,4,0.9975,,,
7687472,u128,8766447,13824,HAS_HOST_METADATA,4,4,0.9600000000000001,,,
7687472,u128,8764991,11520,HAS_HOST_METADATA,2,2,0.98,,,
7687472,u128,9625770,1122280,HAS_HOST_METADATA,1,1,1.0,,,
7687472,u128,8778503,41857,HAS_HOST_METADATA,1,1,1.0,,,
7687472,u128,8967242,256318,HAS_HOST_METADATA,5,5,0.846,,,
7687472,u128,8774423,37124,HAS_HOST_METADATA,6,6,0.995,,,
7687472,u128,8764742,11060,HAS_HOST_METADATA,1,1,0.46,,,
7687472,u128,9355348,749907,HAS_HOST_METADATA,1,1,0.52,,,
7687472,u128,10338802,1930656,HAS_HOST_METADATA,1,1,0.56,,,
7687472,u128,8763842,9858,HAS_HOST_METADATA,1,1,0.49,,,
7687472,u128,9665277,1169740,HAS_HOST_METADATA,4,4,0.46,,,
7687472,u128,9101353,410658,HAS_HOST_METADATA,2,2,0.48,,,
7687472,u128,9099298,408172,HAS_HOST_METADATA,1,1,0.48,,,
7687472,u128,9203827,527639,HAS_HOST_METADATA,1,1,0.39,,,
7687472,u128,9099296,408170,HAS_HOST_METADATA,1,1,0.75,,,
7687472,u128,8758849,3695,HAS_HOST_METADATA,1,1,0.38,,,
7687472,u128,9969519,1510822,HAS_HOST_METADATA,3,3,0.43,,,
7687472,u128,8763571,9544,HAS_HOST_METADATA,1,1,0.52,,,
7687472,u128,9343974,717931,HAS_HOST_METADATA,1,1,0.38,,,
7687472,u128,9902992,1436733,HAS_HOST_METADATA,1,1,0.43,,,
7687950,u258,8763618,9606,HAS_HOST_METADATA,58,58,0.9737931034482761,,,
7687950,u258,8793693,59301,HAS_HOST_METADATA,122,122,0.9894262295081966,,,
