sourceAppId,targetAppId,relationshipType,weight,weightInt
u19445,u128,SEQUENCE_ALIGNMENT,0.604,60
u8613,u405,SEQUENCE_ALIGNMENT,0.917,90
u4537,u548,SEQUENCE_ALIGNMENT,0.771,80
u3824,u550,SEQUENCE_ALIGNMENT,0.7070000000000001,70
u5157,u550,SEQUENCE_ALIGNMENT,0.4419999999999999,40
u23531,u550,SEQUENCE_ALIGNMENT,0.6859999999999999,70
u7120,u550,SEQUENCE_ALIGNMENT,0.6859999999999999,70
u6076,u550,SEQUENCE_ALIGNMENT,0.6639999999999999,70
u6854,u550,SEQUENCE_ALIGNMENT,0.6719999999999999,70
u14790,u550,SEQUENCE_ALIGNMENT,0.6639999999999999,70
u12790,u550,SEQUENCE_ALIGNMENT,0.708,70
u17707,u550,SEQUENCE_ALIGNMENT,0.657,70
u8640,u550,SEQUENCE_ALIGNMENT,0.6930000000000001,70
u14846,u550,SEQUENCE_ALIGNMENT,0.7010000000000001,70
u14847,u550,SEQUENCE_ALIGNMENT,0.6859999999999999,70
u19445,u550,SEQUENCE_ALIGNMENT,0.626,60
u128,u550,SEQUENCE_ALIGNMENT,0.655,70
u741,u550,SEQUENCE_ALIGNMENT,0.63,60
u5029,u550,SEQUENCE_ALIGNMENT,0.636,60
u4758,u550,SEQUENCE_ALIGNMENT,0.621,60
u7358,u550,SEQUENCE_ALIGNMENT,0.7010000000000001,70
u5475,u550,SEQUENCE_ALIGNMENT,0.679,70
u1631,u550,SEQUENCE_ALIGNMENT,0.854,90
u29609,u550,SEQUENCE_ALIGNMENT,0.6930000000000001,70
u3234,u550,SEQUENCE_ALIGNMENT,0.636,60
u9230,u602,SEQUENCE_ALIGNMENT,0.637,60
u6349,u602,SEQUENCE_ALIGNMENT,0.756,80
u4011,u602,SEQUENCE_ALIGNMENT,0.667,70
u16483,u703,SEQUENCE_ALIGNMENT,0.899,90
u21649,u703,SEQUENCE_ALIGNMENT,0.5800000000000001,60
u12395,u703,SEQUENCE_ALIGNMENT,0.63,60
u25133,u703,SEQUENCE_ALIGNMENT,0.538,50
u128,u741,SEQUENCE_ALIGNMENT,0.683,70
u19445,u741,SEQUENCE_ALIGNMENT,0.619,60
u2371,u754,SEQUENCE_ALIGNMENT,0.4409999999999999,40
u5525,u943,SEQUENCE_ALIGNMENT,0.6579999999999999,70
u5029,u1041,SEQUENCE_ALIGNMENT,0.6639999999999999,70
u741,u1041,SEQUENCE_ALIGNMENT,0.698,70
u128,u1041,SEQUENCE_ALIGNMENT,0.79,80
u19445,u1041,SEQUENCE_ALIGNMENT,0.5900000000000001,60
u22583,u1095,SEQUENCE_ALIGNMENT,0.631,60
u42720,u1297,SEQUENCE_ALIGNMENT,0.838,80
u12233,u1297,SEQUENCE_ALIGNMENT,0.848,80
u25341,u1297,SEQUENCE_ALIGNMENT,0.838,80
u13577,u1297,SEQUENCE_ALIGNMENT,0.798,80
u5536,u1297,SEQUENCE_ALIGNMENT,0.869,90
u5523,u1300,SEQUENCE_ALIGNMENT,0.793,80
u2371,u1513,SEQUENCE_ALIGNMENT,0.407,40
u19445,u1620,SEQUENCE_ALIGNMENT,0.593,60
u128,u1620,SEQUENCE_ALIGNMENT,0.65,60
u741,u1620,SEQUENCE_ALIGNMENT,0.679,70
u5029,u1620,SEQUENCE_ALIGNMENT,0.636,60
u4758,u1620,SEQUENCE_ALIGNMENT,0.75,80
u7358,u1620,SEQUENCE_ALIGNMENT,0.593,60
u5475,u1620,SEQUENCE_ALIGNMENT,0.614,60
u2384,u1620,SEQUENCE_ALIGNMENT,0.771,80
u23268,u1620,SEQUENCE_ALIGNMENT,0.643,60
u45333,u1620,SEQUENCE_ALIGNMENT,0.5429999999999999,50
u29609,u1620,SEQUENCE_ALIGNMENT,0.864,90
u3234,u1620,SEQUENCE_ALIGNMENT,0.7070000000000001,70
u7492,u1620,SEQUENCE_ALIGNMENT,0.679,70
u14847,u1620,SEQUENCE_ALIGNMENT,0.636,60
u14846,u1620,SEQUENCE_ALIGNMENT,0.657,70
u8640,u1620,SEQUENCE_ALIGNMENT,0.7070000000000001,70
u12790,u1620,SEQUENCE_ALIGNMENT,0.607,60
u9322,u1620,SEQUENCE_ALIGNMENT,0.671,70
u5475,u1631,SEQUENCE_ALIGNMENT,0.708,70
u7358,u1631,SEQUENCE_ALIGNMENT,0.6930000000000001,70
u4758,u1631,SEQUENCE_ALIGNMENT,0.621,60
u5029,u1631,SEQUENCE_ALIGNMENT,0.65,60
u741,u1631,SEQUENCE_ALIGNMENT,0.609,60
u128,u1631,SEQUENCE_ALIGNMENT,0.64,60
u19445,u1631,SEQUENCE_ALIGNMENT,0.612,60
u20448,u1680,SEQUENCE_ALIGNMENT,0.894,90
u9527,u1680,SEQUENCE_ALIGNMENT,0.6719999999999999,70
u8238,u1680,SEQUENCE_ALIGNMENT,0.73,70
u25165,u1680,SEQUENCE_ALIGNMENT,0.73,70
u994,u1680,SEQUENCE_ALIGNMENT,0.8109999999999999,80
u17707,u1801,SEQUENCE_ALIGNMENT,0.679,70
u3824,u1801,SEQUENCE_ALIGNMENT,0.9,90
u23531,u1801,SEQUENCE_ALIGNMENT,0.636,60
u7120,u1801,SEQUENCE_ALIGNMENT,0.75,80
u6076,u1801,SEQUENCE_ALIGNMENT,0.714,70
u6854,u1801,SEQUENCE_ALIGNMENT,0.657,70
u14790,u1801,SEQUENCE_ALIGNMENT,0.636,60
u9322,u1801,SEQUENCE_ALIGNMENT,0.714,70
u12790,u1801,SEQUENCE_ALIGNMENT,0.657,70
u19445,u1801,SEQUENCE_ALIGNMENT,0.657,70
u128,u1801,SEQUENCE_ALIGNMENT,0.657,70
u741,u1801,SEQUENCE_ALIGNMENT,0.636,60
u5029,u1801,SEQUENCE_ALIGNMENT,0.75,80
u4758,u1801,SEQUENCE_ALIGNMENT,0.714,70
u7358,u1801,SEQUENCE_ALIGNMENT,0.636,60
u5475,u1801,SEQUENCE_ALIGNMENT,0.629,60
u1631,u1801,SEQUENCE_ALIGNMENT,0.657,70
u2384,u1801,SEQUENCE_ALIGNMENT,0.6930000000000001,70
u16791,u1801,SEQUENCE_ALIGNMENT,0.764,80
u29609,u1801,SEQUENCE_ALIGNMENT,0.643,60
u3234,u1801,SEQUENCE_ALIGNMENT,0.714,70
u14846,u1801,SEQUENCE_ALIGNMENT,0.657,70
u14847,u1801,SEQUENCE_ALIGNMENT,0.643,60
u8640,u1801,SEQUENCE_ALIGNMENT,0.6930000000000001,70
u34772,u1831,SEQUENCE_ALIGNMENT,0.913,90
u8613,u1831,SEQUENCE_ALIGNMENT,0.413,40
